Function,Algorithm,Mean,StdDev,Rank
F3_CEC2020,PSO,43334.6623,65155.54959,3
F3_CEC2020,SMA,673379.8483,165679.1056,14
F3_CEC2020,WOA,375431.6262,5.82e-11,8
F4_CEC2020,FSRO_Original,2156512.517,2651143.549,11
F4_CEC2020,FSRO_Modified,1902.749446,0.481482239,1
F4_CEC2020,FSRO_Variant1,622690.8439,1180538.07,8
F4_CEC2020,FSRO_Variant2,1903.073383,0.962729105,2
F4_CEC2020,FSRO_Variant3,28313.57054,43146.09095,6
F4_CEC2020,FSRO_Variant4,1541453.517,1993849.164,10
F4_CEC2020,FSRO_Variant5,883692.605,858578.2757,9
F4_CEC2020,DE,7975.370094,16552.33568,4
F4_CEC2020,GWO,11109.51359,7855.041224,5
F4_CEC2020,HHO,3287478.009,4.66e-10,13
F4_CEC2020,MFO,32718.78217,60799.28729,7
F4_CEC2020,PSO,4759.622354,9518.785001,3
F4_CEC2020,SMA,2405492.356,2622966.436,12
F4_CEC2020,WOA,3287478.009,4.66e-10,13
F5_CEC2020,FSRO_Original,215646071.8,496261280.6,12
F5_CEC2020,FSRO_Modified,17333.41598,5746.56731,1
F5_CEC2020,FSRO_Variant1,29872026.77,69212811.58,9
F5_CEC2020,FSRO_Variant2,62481.75128,39590.10357,2
F5_CEC2020,FSRO_Variant3,890424.1082,980837.9862,5
F5_CEC2020,FSRO_Variant4,8486143.846,8718220.242,6
F5_CEC2020,FSRO_Variant5,99550935.19,97601278.67,10
F5_CEC2020,DE,120784.3008,324770.2434,3
F5_CEC2020,GWO,14073972.66,0.845537932,8
F5_CEC2020,HHO,766542609.1,1.19e-07,13
F5_CEC2020,MFO,10910838.05,56848805.77,7
F5_CEC2020,PSO,162340.254,428123.6806,4
F5_CEC2020,SMA,186324202.6,166243195.2,11
F5_CEC2020,WOA,766542609.1,1.19e-07,13
F1_CEC2022,FSRO_Original,641853.1814,4182858.556,14
F1_CEC2022,FSRO_Modified,300.1142133,0.035019737,1
F1_CEC2022,FSRO_Variant1,22687.13062,8421.958021,7
F1_CEC2022,FSRO_Variant2,300.1600078,0.038290933,2
F1_CEC2022,FSRO_Variant3,12342.31195,6878.8463,6
F1_CEC2022,FSRO_Variant4,29814.49156,11628.91956,8
F1_CEC2022,FSRO_Variant5,60574.21625,118318.5988,12
F1_CEC2022,DE,7858.017932,5640.307728,4
F1_CEC2022,GWO,10011.10868,1972.261784,5
F1_CEC2022,HHO,51517.3223,0.0,10
F1_CEC2022,MFO,34051.82689,14967.61951,9
F1_CEC2022,PSO,4118.509103,4910.240358,3
F1_CEC2022,SMA,122407.725,198623.6258,13
F1_CEC2022,WOA,51517.3223,0.0,10
F2_CEC2022,FSRO_Original,5973.333668,4616.799584,11
F2_CEC2022,FSRO_Modified,412.2151494,25.56319651,1
F2_CEC2022,FSRO_Variant1,3253.385812,2093.419607,8
F2_CEC2022,FSRO_Variant2,417.6739834,28.22430057,2
F2_CEC2022,FSRO_Variant3,1450.174045,1163.06771,7
F2_CEC2022,FSRO_Variant4,4111.249689,1800.170707,9
F2_CEC2022,FSRO_Variant5,5657.976264,2391.409464,10
F2_CEC2022,DE,726.0849155,327.7655705,5
F2_CEC2022,GWO,1294.890936,495.5534413,6
F2_CEC2022,HHO,11097.37289,1.82e-12,13
F2_CEC2022,MFO,601.819952,176.9691628,4
F2_CEC2022,PSO,575.516347,285.411936,3
F2_CEC2022,SMA,8097.024164,4100.391539,12
F2_CEC2022,WOA,11097.37289,1.82e-12,13
F3_CEC2022,FSRO_Original,601.0513488,0.408590529,11
F3_CEC2022,FSRO_Modified,600.0000049,1.58e-06,1
F3_CEC2022,FSRO_Variant1,600.7932685,0.322454442,8
